Benchmark,Associativity,Prefetcher,IPC
cholesky,1way,ghb_prefetch,2.005
cholesky,1way,no_prefetch,2.1025
cholesky,1way,simple_prefetch,2.06
cholesky,2way,ghb_prefetch,2.0475
cholesky,2way,no_prefetch,2.185
cholesky,2way,simple_prefetch,2.235
cholesky,4way,ghb_prefetch,2.0075
cholesky,4way,no_prefetch,2.13
cholesky,4way,simple_prefetch,2.1125
cholesky,8way,ghb_prefetch,1.96
cholesky,8way,no_prefetch,2.1624999999999996
cholesky,8way,simple_prefetch,2.185
cholesky,16way,ghb_prefetch,2.0175
cholesky,16way,no_prefetch,2.1550000000000002
cholesky,16way,simple_prefetch,2.165
cholesky,32way,ghb_prefetch,1.9775
cholesky,32way,no_prefetch,2.1575
cholesky,32way,simple_prefetch,2.1625
cholesky,64way,ghb_prefetch,1.885
cholesky,64way,no_prefetch,2.1375
cholesky,64way,simple_prefetch,2.17
cholesky,128way,ghb_prefetch,1.9625
cholesky,128way,no_prefetch,2.1574999999999998
cholesky,128way,simple_prefetch,2.18
cholesky,256way,ghb_prefetch,1.94
cholesky,256way,no_prefetch,2.1375
cholesky,256way,simple_prefetch,2.165
fmm,1way,ghb_prefetch,2.3125
fmm,1way,no_prefetch,2.3575
fmm,1way,simple_prefetch,2.355
fmm,2way,ghb_prefetch,2.3975
fmm,2way,no_prefetch,2.415
fmm,2way,simple_prefetch,2.44
fmm,4way,ghb_prefetch,2.375
fmm,4way,no_prefetch,2.435
fmm,4way,simple_prefetch,2.4250000000000003
fmm,8way,ghb_prefetch,2.4225000000000003
fmm,8way,no_prefetch,2.45
fmm,8way,simple_prefetch,2.445
fmm,16way,ghb_prefetch,2.4425
fmm,16way,no_prefetch,2.45
fmm,16way,simple_prefetch,2.4475000000000002
fmm,32way,ghb_prefetch,2.44
fmm,32way,no_prefetch,2.45
fmm,32way,simple_prefetch,2.45
fmm,64way,ghb_prefetch,2.4425
fmm,64way,no_prefetch,2.45
fmm,64way,simple_prefetch,2.445
fmm,128way,ghb_prefetch,2.4425
fmm,128way,no_prefetch,2.45
fmm,128way,simple_prefetch,2.4450000000000003
fmm,256way,ghb_prefetch,2.4325
fmm,256way,no_prefetch,2.45
fmm,256way,simple_prefetch,2.45
lu.cont,1way,ghb_prefetch,2.7125000000000004
lu.cont,1way,no_prefetch,2.7325
lu.cont,1way,simple_prefetch,2.7325
lu.cont,2way,ghb_prefetch,2.7325
lu.cont,2way,no_prefetch,2.735
lu.cont,2way,simple_prefetch,2.7325
lu.cont,4way,ghb_prefetch,2.7375000000000003
lu.cont,4way,no_prefetch,2.7350000000000003
lu.cont,4way,simple_prefetch,2.7325
lu.cont,8way,ghb_prefetch,2.7350000000000003
lu.cont,8way,no_prefetch,2.7325
lu.cont,8way,simple_prefetch,2.735
lu.cont,16way,ghb_prefetch,2.7325
lu.cont,16way,no_prefetch,2.7325
lu.cont,16way,simple_prefetch,2.7325
lu.cont,32way,ghb_prefetch,2.7325
lu.cont,32way,no_prefetch,2.7325
lu.cont,32way,simple_prefetch,2.7325
lu.cont,64way,ghb_prefetch,2.7325
lu.cont,64way,no_prefetch,2.7325
lu.cont,64way,simple_prefetch,2.7375000000000003
lu.cont,128way,ghb_prefetch,2.735
lu.cont,128way,no_prefetch,2.7325
lu.cont,128way,simple_prefetch,2.7375000000000003
lu.cont,256way,ghb_prefetch,2.7350000000000003
lu.cont,256way,no_prefetch,2.7375000000000003
lu.cont,256way,simple_prefetch,2.7325
radix,1way,ghb_prefetch,0.44
radix,1way,no_prefetch,0.44
radix,1way,simple_prefetch,0.44
radix,2way,ghb_prefetch,0.44
radix,2way,no_prefetch,0.44
radix,2way,simple_prefetch,0.44
radix,4way,ghb_prefetch,0.44
radix,4way,no_prefetch,0.44
radix,4way,simple_prefetch,0.44
radix,8way,ghb_prefetch,0.44
radix,8way,no_prefetch,0.44
radix,8way,simple_prefetch,0.44
radix,16way,ghb_prefetch,0.44
radix,16way,no_prefetch,0.44
radix,16way,simple_prefetch,0.44
radix,32way,ghb_prefetch,0.44
radix,32way,no_prefetch,0.44
radix,32way,simple_prefetch,0.44
radix,64way,ghb_prefetch,0.44
radix,64way,no_prefetch,0.44
radix,64way,simple_prefetch,0.44
radix,128way,ghb_prefetch,0.44
radix,128way,no_prefetch,0.44
radix,128way,simple_prefetch,0.44
radix,256way,ghb_prefetch,0.44
radix,256way,no_prefetch,0.44
radix,256way,simple_prefetch,0.44
raytrace,1way,ghb_prefetch,0.7675000000000001
raytrace,1way,no_prefetch,0.865
raytrace,1way,simple_prefetch,0.875
raytrace,2way,ghb_prefetch,0.845
raytrace,2way,no_prefetch,0.8825000000000001
raytrace,2way,simple_prefetch,0.89
raytrace,4way,ghb_prefetch,0.8674999999999999
raytrace,4way,no_prefetch,0.8875
raytrace,4way,simple_prefetch,0.8925
raytrace,8way,ghb_prefetch,0.8674999999999999
raytrace,8way,no_prefetch,0.885
raytrace,8way,simple_prefetch,0.885
raytrace,16way,ghb_prefetch,0.8724999999999999
raytrace,16way,no_prefetch,0.88
raytrace,16way,simple_prefetch,0.885
raytrace,32way,ghb_prefetch,0.865
raytrace,32way,no_prefetch,0.8875000000000001
raytrace,32way,simple_prefetch,0.8825000000000001
raytrace,64way,ghb_prefetch,0.8625
raytrace,64way,no_prefetch,0.8875000000000001
raytrace,64way,simple_prefetch,0.8875000000000001
raytrace,128way,ghb_prefetch,0.87
raytrace,128way,no_prefetch,0.885
raytrace,128way,simple_prefetch,0.8925
raytrace,256way,ghb_prefetch,0.865
raytrace,256way,no_prefetch,0.885
raytrace,256way,simple_prefetch,0.8875000000000001
