Benchmark,Associativity,Prefetcher,Power
cholesky,1way,ghb_prefetch,0.268844 W
cholesky,1way,no_prefetch,0.279702 W
cholesky,1way,simple_prefetch,0.295982 W
cholesky,2way,ghb_prefetch,0.268169 W
cholesky,2way,no_prefetch,0.274679 W
cholesky,2way,simple_prefetch,0.287414 W
cholesky,4way,ghb_prefetch,0.263189 W
cholesky,4way,no_prefetch,0.264767 W
cholesky,4way,simple_prefetch,0.276821 W
cholesky,8way,ghb_prefetch,0.260492 W
cholesky,8way,no_prefetch,0.278308 W
cholesky,8way,simple_prefetch,0.283887 W
cholesky,16way,ghb_prefetch,0.268282 W
cholesky,16way,no_prefetch,0.279633 W
cholesky,16way,simple_prefetch,0.283899 W
cholesky,32way,ghb_prefetch,0.270092 W
cholesky,32way,no_prefetch,0.287251 W
cholesky,32way,simple_prefetch,0.287167 W
cholesky,64way,ghb_prefetch,0.257942 W
cholesky,64way,no_prefetch,0.282187 W
cholesky,64way,simple_prefetch,0.29328 W
cholesky,128way,ghb_prefetch,0.303566 W
cholesky,128way,no_prefetch,0.312248 W
cholesky,128way,simple_prefetch,0.324239 W
cholesky,256way,ghb_prefetch,0.350561 W
cholesky,256way,no_prefetch,0.371182 W
cholesky,256way,simple_prefetch,0.382723 W
fmm,1way,ghb_prefetch,0.0992811 W
fmm,1way,no_prefetch,0.100898 W
fmm,1way,simple_prefetch,0.106918 W
fmm,2way,ghb_prefetch,0.0970144 W
fmm,2way,no_prefetch,0.0961446 W
fmm,2way,simple_prefetch,0.098224 W
fmm,4way,ghb_prefetch,0.094786 W
fmm,4way,no_prefetch,0.0965818 W
fmm,4way,simple_prefetch,0.0974662 W
fmm,8way,ghb_prefetch,0.0964023 W
fmm,8way,no_prefetch,0.0973435 W
fmm,8way,simple_prefetch,0.0987622 W
fmm,16way,ghb_prefetch,0.0980498 W
fmm,16way,no_prefetch,0.0981874 W
fmm,16way,simple_prefetch,0.099701 W
fmm,32way,ghb_prefetch,0.0993894 W
fmm,32way,no_prefetch,0.0995849 W
fmm,32way,simple_prefetch,0.101274 W
fmm,64way,ghb_prefetch,0.100391 W
fmm,64way,no_prefetch,0.100589 W
fmm,64way,simple_prefetch,0.102125 W
fmm,128way,ghb_prefetch,0.110653 W
fmm,128way,no_prefetch,0.110839 W
fmm,128way,simple_prefetch,0.112517 W
fmm,256way,ghb_prefetch,0.130392 W
fmm,256way,no_prefetch,0.131164 W
fmm,256way,simple_prefetch,0.133094 W
lu.cont,1way,ghb_prefetch,0.17133 W
lu.cont,1way,no_prefetch,0.170216 W
lu.cont,1way,simple_prefetch,0.171167 W
lu.cont,2way,ghb_prefetch,0.16951 W
lu.cont,2way,no_prefetch,0.169415 W
lu.cont,2way,simple_prefetch,0.171155 W
lu.cont,4way,ghb_prefetch,0.169749 W
lu.cont,4way,no_prefetch,0.169872 W
lu.cont,4way,simple_prefetch,0.170212 W
lu.cont,8way,ghb_prefetch,0.170788 W
lu.cont,8way,no_prefetch,0.170938 W
lu.cont,8way,simple_prefetch,0.169956 W
lu.cont,16way,ghb_prefetch,0.17253 W
lu.cont,16way,no_prefetch,0.172172 W
lu.cont,16way,simple_prefetch,0.173534 W
lu.cont,32way,ghb_prefetch,0.175254 W
lu.cont,32way,no_prefetch,0.174696 W
lu.cont,32way,simple_prefetch,0.174263 W
lu.cont,64way,ghb_prefetch,0.175917 W
lu.cont,64way,no_prefetch,0.176777 W
lu.cont,64way,simple_prefetch,0.176058 W
lu.cont,128way,ghb_prefetch,0.193969 W
lu.cont,128way,no_prefetch,0.194047 W
lu.cont,128way,simple_prefetch,0.19546 W
lu.cont,256way,ghb_prefetch,0.230112 W
lu.cont,256way,no_prefetch,0.229542 W
lu.cont,256way,simple_prefetch,0.230424 W
radix,1way,ghb_prefetch,0.060403 W
radix,1way,no_prefetch,0.0606068 W
radix,1way,simple_prefetch,0.0658522 W
radix,2way,ghb_prefetch,0.0604947 W
radix,2way,no_prefetch,0.0611743 W
radix,2way,simple_prefetch,0.066502 W
radix,4way,ghb_prefetch,0.0606238 W
radix,4way,no_prefetch,0.0610456 W
radix,4way,simple_prefetch,0.0666373 W
radix,8way,ghb_prefetch,0.0608261 W
radix,8way,no_prefetch,0.0610852 W
radix,8way,simple_prefetch,0.0666918 W
radix,16way,ghb_prefetch,0.0613534 W
radix,16way,no_prefetch,0.0618762 W
radix,16way,simple_prefetch,0.0671186 W
radix,32way,ghb_prefetch,0.0624761 W
radix,32way,no_prefetch,0.0626018 W
radix,32way,simple_prefetch,0.0682421 W
radix,64way,ghb_prefetch,0.0629666 W
radix,64way,no_prefetch,0.0632767 W
radix,64way,simple_prefetch,0.0688305 W
radix,128way,ghb_prefetch,0.0693833 W
radix,128way,no_prefetch,0.0697872 W
radix,128way,simple_prefetch,0.0762021 W
radix,256way,ghb_prefetch,0.0823705 W
radix,256way,no_prefetch,0.0826094 W
radix,256way,simple_prefetch,0.0898136 W
raytrace,1way,ghb_prefetch,0.158461 W
raytrace,1way,no_prefetch,0.177323 W
raytrace,1way,simple_prefetch,0.173667 W
raytrace,2way,ghb_prefetch,0.161967 W
raytrace,2way,no_prefetch,0.168409 W
raytrace,2way,simple_prefetch,0.172663 W
raytrace,4way,ghb_prefetch,0.169233 W
raytrace,4way,no_prefetch,0.171368 W
raytrace,4way,simple_prefetch,0.17213 W
raytrace,8way,ghb_prefetch,0.168373 W
raytrace,8way,no_prefetch,0.167882 W
raytrace,8way,simple_prefetch,0.168387 W
raytrace,16way,ghb_prefetch,0.168567 W
raytrace,16way,no_prefetch,0.169585 W
raytrace,16way,simple_prefetch,0.171154 W
raytrace,32way,ghb_prefetch,0.16907 W
raytrace,32way,no_prefetch,0.173607 W
raytrace,32way,simple_prefetch,0.177055 W
raytrace,64way,ghb_prefetch,0.170378 W
raytrace,64way,no_prefetch,0.177496 W
raytrace,64way,simple_prefetch,0.175001 W
raytrace,128way,ghb_prefetch,0.189729 W
raytrace,128way,no_prefetch,0.195087 W
raytrace,128way,simple_prefetch,0.198101 W
raytrace,256way,ghb_prefetch,0.225995 W
raytrace,256way,no_prefetch,0.231031 W
raytrace,256way,simple_prefetch,0.231472 W
